,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
48,49,1896,"Boxing Match; or, Glove Contest (1896) ",5.3,25,"Stage boxing match between Sergeant-Instructor Barrett and Sergeant Pope, with a round, interval, and knockout.","['Short', 'Sport']",,,[],"[('Birt Acres', 10291)]",January 1896,UK,None,,,,
49,50,1896,Bébé et fillettes (1896) ,4.2,13,"Little is known about this lost film, which presumably features young baby girls.","['Documentary', 'Short']","[('Georgette Méliès', 3029234)]",,"[{'star': 'Georgette Méliès', 'star_id': 3029234, 'character': 'Self', 'character_id': 50}]","[('Georges Méliès', 617588)]",1896,France,None,,,,
50,51,1896,The Bohemian Encampment (1896) ,3.7,14,Very little is known of this lost film; according to the title it featured a gypsy camp.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
51,52,1896,Carga de rurales (1896) ,4.5,64,No description.,"['Documentary', 'Short']",,,[],"[('Gabriel Veyre', 895515)]",1896,Mexico,None,Mexico,,,
52,53,1897,A Chegada do Comboio Inaugural à Estação Central do Porto (1897) ,2.8,8,No description.,"['Documentary', 'Short']",,,[],"[('Francisco Pinto Moreira', 684607)]",7 February 1897,Portugal,None,,,,
53,54,1896,A Merry-Go-Round (1896) ,5.2,18,"Very little is known of this lost Georges Melies film, but the title indicates it may have featured children riding a merry-go-round.",['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
54,55,1896,Le chiffonnier (1896) ,3.6,16,No description.,['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
55,56,1896,Uma Corrida de Touros no Campo Pequeno (1896) ,3.2,11,No description.,['Short'],,,[],"[('Henry Short', 795060)]",1896,UK,None,"['Lisbon', 'Portugal']",,,
56,57,1896,The Czar and His Cortege Going to Versailles (1896) ,4.4,14,No description.,"['Documentary', 'Short']","[('Tsar Nicholas II', 874739), ('Tsarina Alexandra', 874739)]",,"[{'star': 'Tsar Nicholas II', 'star_id': 874739, 'character': 'Self (Tsar of Russia)', 'character_id': 57}, {'star': 'Tsarina Alexandra', 'star_id': 874746, 'character': 'Self (Tsarina of Russia)', 'character_id': 57}]","[('Georges Méliès', 617588)]",1896,France,None,,,,
57,58,1896,The Czar's Cortege in the Bois de Boulogne (1896) ,4.2,13,No description.,"['Documentary', 'Short']","[('Tsar Nicholas II', 874739)]",,"[{'star': 'Tsar Nicholas II', 'star_id': 874739, 'character': 'Self (Tsar of Russia)', 'character_id': 58}]","[('Georges Méliès', 617588)]",1896,France,None,,,,
58,59,1896,Coronation of a Village Maiden (1896) ,3.5,13,"Little is known about this lost film, which presumably features a coronation of the rosary, or a celebration of the Coronation of the Virgin Mary.",['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
59,60,1896,Dancing Darkies (1896) ,7.6,61,"""A company of little darkies showing off their paces to the music of the banjo.""","['Documentary', 'Short']",,,[],"[('William K.L. Dickson', 5690)]",12 September 1896,USA,None,"['841 Broadway', 'Manhattan', 'New York City', 'New York', 'USA']",,,
60,61,1896,Dancing Girls (1896) ,4,14,No description.,['Short'],"[('Alhambra Girls', 4007970)]",,"[{'star': 'Alhambra Girls', 'star_id': 4007970, 'character': None, 'character_id': None}]","[('Birt Acres', 10291)]",March 1896,UK,None,,,,
61,62,1896,Danse serpentine (1896) ,6.5,158,"This lost film is speculated to have featured a serpentine dance, possibly in an imitation of the Edison Studios' ""Annabelle"" films, except with a different dancer.",['Short'],,,[],"[('Georges Méliès', 617588)]",25 November 1896,France,None,,,,1
62,63,1896,Dessinateur express (1896) ,3.4,12,This lost film featured a talented sketch artist drawing the statesman and historian Adolphe Thiers with stunning rapidity.,['Short'],"[('Georges Méliès', 617588)]",,"[{'star': 'Georges Méliès', 'star_id': 617588, 'character': 'Georges Méliès', 'character_id': 63}]","[('Georges Méliès', 617588)]",1896,France,None,,,,
63,64,1896,Dessinateur: Chamberlain (1896) ,3.2,12,This lost film featured a talented sketch artist drawing the statesman and Liberal Unionist Joseph Chamberlain with stunning rapidity.,['Short'],"[('Georges Méliès', 617588)]",,"[{'star': 'Georges Méliès', 'star_id': 617588, 'character': 'Lightening Sketch Artist', 'character_id': 64}]","[('Georges Méliès', 617588)]",1896,France,None,,,,
64,65,1896,Dessinateur: Reine Victoria (1896) ,3.3,12,This lost film featured a talented sketch artist drawing Her Majesty H. M. Queen Victoria with stunning rapidity.,['Short'],"[('Georges Méliès', 617588)]",,"[{'star': 'Georges Méliès', 'star_id': 617588, 'character': 'Lightening Sketch Artist', 'character_id': 65}]","[('Georges Méliès', 617588)]",,France,None,,,,
65,66,1896,Dessinateur: Von Bismark (1896) ,3.2,12,This lost film featured a talented sketch artist drawing the Prussian statesman Otto Von Bismark with stunning rapidity.,['Short'],"[('Georges Méliès', 617588)]",,"[{'star': 'Georges Méliès', 'star_id': 617588, 'character': 'Lightening Sketch Artist', 'character_id': 66}]","[('Georges Méliès', 617588)]",,France,None,,,,
66,67,1896,Conjurer Making Ten Hats in Sixty Seconds (1896) ,5.8,41,No description.,"['Short', 'Fantasy']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
67,68,1896,Unloading the Boat (1896) ,3.6,11,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
68,69,1896,Post No Bills (1896) ,4.8,357,Two bill posters argue as an incompetent guard patrols the area.,['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,1
